title,university,form,link,category
Google IT Support,Google,not specified,https://www.coursera.org/specializations/google-it-support,computer-science/computer-security-and-networks
Architecting with Google Compute Engine,Google Cloud,specialization,https://www.coursera.org/specializations/gcp-architecture,computer-science/computer-security-and-networks
Architecting with Google Kubernetes Engine,Google Cloud,specialization,https://www.coursera.org/specializations/architecting-google-kubernetes-engine,computer-science/computer-security-and-networks
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,course,https://www.coursera.org/learn/gcp-fundamentals,computer-science/computer-security-and-networks
The Bits and Bytes of Computer Networking,Google,course,https://www.coursera.org/learn/computer-networking,computer-science/computer-security-and-networks
Bitcoin and Cryptocurrency Technologies,Princeton University,course,https://www.coursera.org/learn/cryptocurrency,computer-science/computer-security-and-networks
Essential Google Cloud Infrastructure: Foundation,Google Cloud,course,https://www.coursera.org/learn/gcp-infrastructure-foundation,computer-science/computer-security-and-networks
Essential Google Cloud Infrastructure: Core Services,Google Cloud,course,https://www.coursera.org/learn/gcp-infrastructure-core-services,computer-science/computer-security-and-networks
Operating Systems and You: Becoming a Power User,Google,course,https://www.coursera.org/learn/os-power-user,computer-science/computer-security-and-networks
Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,course,https://www.coursera.org/learn/gcp-infrastructure-scaling-automation,computer-science/computer-security-and-networks
Cryptography I,Stanford University,course,https://www.coursera.org/learn/crypto,computer-science/computer-security-and-networks
IT Security: Defense against the digital dark arts,Google,course,https://www.coursera.org/learn/it-security,computer-science/computer-security-and-networks
System Administration and IT Infrastructure Services,Google,course,https://www.coursera.org/learn/system-administration-it-infrastructure-services,computer-science/computer-security-and-networks
Cisco Networking Basics,Cisco,specialization,https://www.coursera.org/specializations/networking-basics,computer-science/computer-security-and-networks
Reliable Google Cloud Infrastructure: Design and Process,Google Cloud,course,https://www.coursera.org/learn/cloud-infrastructure-design-process,computer-science/computer-security-and-networks
IT Fundamentals for Cybersecurity,IBM,specialization,https://www.coursera.org/specializations/it-fundamentals-cybersecurity,computer-science/computer-security-and-networks
